Item,Title,Rating,Price
97,PySpark - Apache Spark Programming in Python for beginners,4.5,₺199.99
98,PYTHON PROGRAMMING: Python from Zero to Data Analysis,5.0,₺199.99
99,Master Python programming by solving scientific projects,4.9,₺299.99
100,Master Pandas and Python for Data Handling [2025],4.8,₺169.99
101,"Machine Learning, Data Science & AI Engineering with Python",4.5,₺299.99
102,Python for Beginners: Learn Python Programming (Python 3),4.5,₺169.99
103,Data Analysis with Pandas and Python,4.7,₺319.99
104,Python Programming for AWS - Learn Python with AWS and Boto3,4.5,₺169.99
105,Python on the Backend,4.5,₺199.99
106,Master Time Series Analysis and Forecasting with Python 2025,4.6,₺199.99
107,Python Programming Mastery: From Beginner to Expert,4.8,₺169.99
108,Learn to Code with Python,4.7,₺269.99
109,Python for Everyone: Learn Python Programming from Scratch,3.1,₺149.99
110,Learn how to program in python once and for all,4.5,₺149.99
111,50 Days of Learning Advanced Programming in Python,4.5,₺199.99
112,Master Python Programming and Libraries: Python Full Course,0.0,₺399.99
113,Python for DevOps: Mastering Real-World Automation,4.7,₺149.99
114,The Ultimate Python 3 Course from A to Z + 50 hours!,0.0,₺399.99
115,PYTHON PROGRAMMING: Python from Zero to Data Analysis,5.0,₺199.99
116,Complete Python with AI Skills to Get Your Dream IT Job,4.7,₺169.99
117,Python for Financial Analysis and Algorithmic Trading,4.4,₺199.99
118,The Complete Data Structures and Algorithms Course in Python,4.5,₺199.99
119,Complete Python for Data Science & Machine Learning from A-Z,4.4,₺169.99
120,Python for Absolute Beginners | Python Beginner to Pro,4.6,₺299.99
121,Python Network Programming for Network Engineers (Python 3),4.7,₺269.99
122,LangChain- Develop AI Agents with LangChain & LangGraph,4.6,₺229.99
123,2025 Python Bootcamp | Learn Python Programming Masterclass,4.3,₺169.99
124,Python for Finance and Algorithmic Trading with QuantConnect,4.6,₺299.99
125,"Python Bootcamp: Learn, Code, Build",4.6,₺199.99
126,Python Data Science: Unsupervised Machine Learning,4.9,₺199.99
127,"Python + SQL + Tableau: Integrating Python, SQL, and Tableau",4.4,₺299.99
128,Artificial Intelligence: Reinforcement Learning in Python,4.7,₺849.99
129,Python for Finance: Investment Fundamentals & Data Analytics,4.6,₺299.99
130,Python Certification Exam PCAP-31-03 - Preparation (2025),4.5,₺199.99
131,AI Powered Data Analytics Mastery - AI Tools & Vibe Coding,4.7,₺169.99
132,Python Data Science: Regression & Forecasting,4.6,₺169.99
133,Recommender Systems and Deep Learning in Python,4.7,₺249.99
134,Python and Django Full Stack Web Developer Bootcamp,4.5,₺349.99
135,Python for Mechanical Engineers,4.2,₺199.99
136,"RAG, AI Agents and Generative AI with Python and OpenAI 2025",4.5,₺199.99
137,Python Bootcamp : Complete Python Programming Masterclass,4.6,₺169.99
138,Practical Python: Learn Python Basics Step by Step- Python 3,4.6,₺199.99
139,Python for beginners - Learn all the basics of python,4.3,₺249.99
140,2025 Python Data Analysis & Visualization Masterclass,4.7,₺199.99
141,Python for Everyone: Learn Python Programming from Scratch,3.1,₺149.99
142,Learn how to program in python once and for all,4.5,₺149.99
143,50 Days of Learning Advanced Programming in Python,4.5,₺199.99
144,Master Python Programming and Libraries: Python Full Course,0.0,₺399.99
145,Python for DevOps: Mastering Real-World Automation,4.7,₺149.99
146,The Ultimate Python 3 Course from A to Z + 50 hours!,0.0,₺399.99
147,PYTHON PROGRAMMING: Python from Zero to Data Analysis,5.0,₺199.99
148,Complete Python with AI Skills to Get Your Dream IT Job,4.7,₺169.99
149,The Complete Python Course 2025,4.6,₺199.99
150,No Nonsense Python: learn Python basics and start coding,4.4,₺169.99
151,Complete Python Programming Masterclass Beginner to Advanced,4.6,₺169.99
152,Python & Machine Learning for Financial Analysis,4.6,₺199.99
153,Python Pro : The Complete Python Bootcamp for Noobs,4.3,₺169.99
154,The Ultimate Pandas Bootcamp: Advanced Python Data Analysis,4.7,₺199.99
155,The Complete Python Developer Certification Course,4.4,₺169.99
156,Python for Computer Vision with OpenCV and Deep Learning,4.6,₺169.99
157,Python OOP - Object Oriented Programming for Beginners,4.6,₺199.99
158,Master Network Automation with Python for Network Engineers,4.5,₺199.99
159,Full stack web development and AI with Python (Django),4.4,₺229.99
160,Python for Machine Learning & Data Science Masterclass,4.6,₺299.99
